Name;Owner Type;Created at;Last Updated at;Size;Stars;Watchers;Language;Has Wiki;Forks;Open Issues
bootstrap;Organization;2011-07-29 21:19:00;2015-03-31 23:06:50;175052;79436;79436;CSS;False;30915;119
free-programming-books;User;2013-10-11 06:50:37;2015-03-31 23:20:12;11228;37853;37853;;True;8345;30
angular.js;Organization;2010-01-06 00:34:37;2015-03-31 23:55:02;228078;36928;36928;JavaScript;True;15263;1167
d3;User;2010-09-27 17:22:42;2015-03-31 23:37:53;73036;36162;36162;JavaScript;True;9119;232
node;Organization;2009-05-27 16:29:46;2015-03-31 21:30:21;339593;35444;35444;JavaScript;True;7932;1174
jquery;Organization;2009-04-03 15:20:14;2015-03-31 23:48:22;38855;33924;33924;JavaScript;True;8173;111
Font-Awesome;Organization;2012-02-17 14:19:43;2015-03-31 22:40:00;25469;31710;31710;HTML;True;4830;2500
html5-boilerplate;Organization;2010-01-24 18:03:24;2015-03-31 19:23:46;66063;29272;29272;JavaScript;True;7553;9
rails;Organization;2008-04-11 02:19:47;2015-03-31 23:09:03;397991;25502;25502;Ruby;False;10026;739
meteor;Organization;2012-01-19 01:58:17;2015-03-31 23:44:25;170872;23783;23783;JavaScript;True;2669;482
impress.js;User;2011-12-28 22:23:19;2015-03-31 17:15:28;2276;23654;23654;JavaScript;True;5113;183
gitignore;Organization;2010-11-08 20:17:14;2015-03-31 22:52:26;9231;23355;23355;;False;8507;50
oh-my-zsh;User;2009-08-28 18:15:37;2015-03-31 23:51:55;24794;22653;22653;Shell;True;7164;543
homebrew;Organization;2009-05-20 19:38:37;2015-03-31 21:53:07;1487779;22190;22190;Ruby;True;11101;384
brackets;Organization;2011-12-07 21:14:40;2015-03-31 23:12:46;321887;21573;21573;JavaScript;True;4448;1220
backbone;User;2010-09-30 19:41:28;2015-03-31 21:11:37;46340;21239;21239;JavaScript;True;4757;33
nw.js;Organization;2012-01-04 06:21:10;2015-03-31 22:10:16;72457;21212;21212;C++;True;2311;1153
linux;User;2011-09-04 22:48:12;2015-03-31 23:42:04;1608828;20916;20916;C;False;8276;71
animate.css;User;2011-10-12 10:07:38;2015-03-31 22:41:23;1983;20841;20841;CSS;True;4550;6
docker;Organization;2013-01-18 18:10:57;2015-03-31 23:47:23;162403;20431;20431;Go;False;4573;867
reveal.js;User;2011-06-07 18:54:22;2015-03-31 21:06:41;80520;20335;20335;JavaScript;True;6111;127
moment;Organization;2011-03-01 02:46:06;2015-03-31 23:37:27;16925;20246;20246;JavaScript;False;2185;229
foundation;Organization;2011-10-13 23:05:42;2015-03-31 23:12:17;136182;19726;19726;CSS;False;4241;43
jQuery-File-Upload;User;2010-12-01 15:35:32;2015-03-31 21:50:29;8697;19462;19462;JavaScript;True;5050;58
react;Organization;2013-05-24 16:15:54;2015-04-01 00:03:56;93001;19369;19369;JavaScript;True;2605;532
