Name;Owner Type;Created at (Year);Created at (Month);Created at (Day);Last Updated at (Year);Last Updated at (Month);Last Updated at (Day);Size;Stars;Watchers;Language;Has Wiki;Forks;Open Issues;Num. Cmts. Dom;Num. Cmts. Seg;Num. Cmts. Ter;Num. Cmts. Qua;Num. Cmts. Qui;Num. Cmts. Sex;Num. Cmts. Sab;Total Commits
bootstrap;Organization;2011;7;29;2015;4;29;192020;80571;80571;CSS;False;31717;98;1325;1289;1196;1139;1259;1037;1082;8327
free-programming-books;User;2013;10;11;2015;4;28;11627;38685;38685;None;True;8554;30;203;286;242;261;281;347;278;1898
angular.js;Organization;2010;1;6;2015;4;28;236167;37996;37996;JavaScript;True;15889;1218;435;1067;1224;1173;1191;1135;442;6667
d3;User;2010;9;27;2015;4;29;73740;37170;37170;JavaScript;True;9444;251;303;340;457;568;421;345;350;2784
node;Organization;2009;5;27;2015;4;28;345219;35938;35938;JavaScript;True;8007;1233;714;1746;1880;1721;1752;1578;841;10232
jquery;Organization;2009;4;3;2015;4;28;39744;34250;34250;JavaScript;True;8303;117;594;1015;987;874;869;703;500;5542
Font-Awesome;Organization;2012;2;17;2015;4;28;24400;32548;32548;HTML;True;5055;2611;51;63;155;125;114;80;65;653
html5-boilerplate;Organization;2010;1;24;2015;4;28;66525;29636;29636;JavaScript;True;7627;13;189;165;202;182;196;158;183;1275
rails;Organization;2008;4;11;2015;4;29;414003;25876;25876;Ruby;False;10259;756;2139;2939;3228;3147;3066;3195;2286;20000
meteor;Organization;2012;1;19;2015;4;28;174335;24527;24527;JavaScript;True;2766;532;423;2592;2611;2548;2490;1993;427;13084
gitignore;Organization;2010;11;8;2015;4;28;10563;24102;24102;None;False;8837;71;80;135;210;176;140;133;104;978
impress.js;User;2011;12;28;2015;4;28;2755;24000;24000;JavaScript;True;5246;188;14;26;25;46;33;11;33;188
oh-my-zsh;User;2009;8;28;2015;4;28;26579;23498;23498;Shell;True;7354;591;229;302;358;305;261;290;216;1961
homebrew;Organization;2009;5;20;2015;4;28;1482153;22671;22671;Ruby;True;11406;405;2639;3152;3045;2706;3212;2659;2587;20000
